"block","item","item_name_de","item_name_en","analysis_population_n","valid_n","coded_missing_n","structural_na_n","median","mean","sd","q1","q3","iqr"
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)",36,23,1,12,5,4.95652173913043,1.29608714878021,4.5,6,1.5
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",36,23,1,12,5,4.21739130434783,1.27765843134763,4,5,1
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)",36,24,0,12,5,5.08333333333333,1.05980583400786,5,6,1
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)",36,23,1,12,4,3.69565217391304,1.10514427724066,3,4.5,1.5
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)",36,23,1,12,3,2.52173913043478,1.16266016364477,2,3,1
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)",36,24,0,12,5,4.66666666666667,1.27404411454121,4,6,2
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)",36,23,1,12,4,3.95652173913043,1.22393779066381,3,5,2
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",36,23,1,12,3,3.69565217391304,1.57926284900426,3,5,2
"GE04","GE04_01","Produkträume Likert: Bedienungsraum Mindestens erforderlicher Raum für Betrieb und vorschriftsmäßige Funktion, inklusive Bereichen zum Öffnen von Türen, Klappen oder Abdeckungen.","Operating space (doors and covers)",36,23,1,12,6,5.21739130434783,0.951387586591789,4.5,6,1.5
"GE04","GE04_02","Produkträume Likert: Zugangsraum Raum, den Bedien‑ oder Wartungspersonal benötigt, um das Produkt zu erreichen und Wartungsarbeiten sicher durchzuführen.","Access space (maintenance personnel)",36,23,1,12,6,5.26086956521739,0.963770592485946,5,6,1
"GE04","GE04_03","Produkträume Likert: Einbau‑ und Transportraum Raum für den Transport der größten zerlegbaren Baugruppe des Produkts in/aus dem Gebäude oder Installationsraum (z. B. Pfad durch Türen, Treppen, Schächte).","Transport space (path through building)",36,23,1,12,5,4.91304347826087,1.08347267777192,4,6,2
"GE04","GE04_04","Produkträume Likert: Installationsraum Zusätzlicher Raum für Montage, Installation oder Deinstallation vor Ort (z. B. Platz für Werkzeuge, Hebezeuge oder das Lösen von Anschlüssen).","Assembly space (tools and lifting equipment)",36,24,0,12,5,4.83333333333333,1.00722031037067,4,6,2
"GE04","GE04_05","Produkträume Likert: Gesamtraum (Störraum) Der gesamte Raum des Produkts für Kollisionsprüfungen im CAD‑/BIM‑Modell, inklusive aller anderen Räume (Bedienung, Zugang, Transport, Installation).​","Total clearance space (BIM collision check)",36,23,1,12,5,4.73913043478261,1.25108648434245,4,6,2
