"block","item","item_name_de","item_name_en","group","valid_n","coded_missing_n","structural_na_n","median","mean","sd","q1","q3","iqr","low_count"
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)","Architecture",8,0,2,6,5.375,0.916125381312904,4.75,6,1.25,FALSE
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)","MEP",14,1,9,5,4.64285714285714,1.44686094473747,4.25,5.75,1.5,FALSE
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)","Architecture",8,0,2,4,3.25,1.38873014965883,2,4,2,FALSE
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)","MEP",14,1,9,5,4.64285714285714,0.841897386141095,4.25,5,0.75,FALSE
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)","Architecture",8,0,2,6,5.625,0.517549169506766,5,6,1,FALSE
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)","MEP",15,0,9,5,4.73333333333333,1.16291915126588,4,5.5,1.5,FALSE
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)","Architecture",8,0,2,3,3.5,1.19522860933439,3,4,1,FALSE
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)","MEP",14,1,9,4,3.78571428571429,1.1217137594956,3,5,2,FALSE
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)","Architecture",8,0,2,2,2.5,1.69030850945703,1,3.5,2.5,FALSE
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)","MEP",14,1,9,3,2.57142857142857,0.85163062725264,2,3,1,FALSE
